
News_ID,Headline,Description,RIASEC
JK-01,"Heavy Rains Flood Jammu Colleges, Disrupting Academic Life","Heavy monsoon rains have inundated the campuses of GGM Science College and Cluster University in Jammu, causing severe waterlogging. Videos show students wading through knee-deep water, with classrooms and hostels submerged. The flooding has halted academic schedules and created chaotic conditions, forcing the closure of all government and private schools in the Jammu Division to ensure student safety. The India Meteorological Department has issued orange and yellow alerts for the region, predicting continued thunderstorms and heavy rainfall. Authorities are monitoring the situation as daily life and transportation, including the Jammu-Srinagar highway, remain severely disrupted.38",C
JK-02,J&K Gains 190 Additional MBBS Seats in Five Government Medical Colleges,"The National Medical Commission (NMC) has approved 190 new MBBS seats across five government medical colleges in Jammu and Kashmir, increasing the total intake capacity to 1,375. Government Medical Colleges in Baramulla, Doda, and Kathua will each receive 50 additional seats, while GMC Jammu and GMC Srinagar will get 20 each. Officials state this expansion will provide more opportunities for aspiring medical students from the region and strengthen the UT's healthcare system by producing more trained professionals. This milestone was achieved with support from the Ministry of Health and Family Welfare and NITI Aayog.23",I
JK-03,All Colleges in Jammu & Kashmir to Close Due to Inclement Weather,"The Directorate of Colleges, Higher Education Department, has ordered the closure of all Government Degree Colleges, GCETs, and private colleges across Jammu and Kashmir on September 4, 2025. The decision was announced as a precautionary measure to ensure the safety and security of students and staff amid prevailing adverse weather conditions, including heavy rainfall and flood warnings. The order applies to all higher education institutions in both the Jammu and Kashmir divisions. This follows similar closure orders for schools in the region, as authorities work to manage the situation and advise against unnecessary travel.40",C
JK-04,Downgrading of General English in J&K Colleges Sparks Educational Crisis,"The implementation of the National Education Policy (NEP) 2020 in Jammu and Kashmir has relegated General English from a compulsory subject to an optional Ability Enhancement Course. This policy shift has caused a steep decline in enrollment in English departments, threatening their existence and creating a grim future for English scholars with advanced degrees. Critics argue that sidelining English, a crucial language for global employability, risks producing graduates ill-prepared for a competitive world and is triggering a brain drain of qualified academics from the region. There are urgent calls to restore English as a compulsory subject.21",S
JK-05,NIT Srinagar Secures Twin Research Grants for Renewable Energy Technologies,"The National Institute of Technology (NIT) Srinagar has been awarded two significant research project grants from the Anveshan Research National Foundation (ANRF) to advance renewable energy technologies. The institute's leadership has commended the faculty for securing these prestigious grants, which underscore NIT Srinagar's growing role in cutting-edge scientific research. The projects aim to address critical challenges in the energy sector and contribute to sustainable infrastructure development in the region. This achievement highlights the institution's commitment to fostering innovation and technical excellence in engineering and science, positioning it as a key player in national research initiatives.12",I
JK-06,J&K Government Formulates New Private University Policy for 2025,"Jammu and Kashmir's administration is developing the J&K Private University Policy-2025, a framework designed to attract reputed private institutions to establish universities in the UT. The policy aims to upgrade higher education, promote innovation, and provide local students with world-class learning facilities while ensuring robust regulatory safeguards. Minister Sakeena Itoo emphasized that the policy must be progressive and pragmatic, balancing quality with accountability. The government plans to consult with stakeholders, including academicians and civil society, and make the draft public for feedback, positioning J&K as an emerging hub for knowledge and skill development.34",E
JK-07,"SKUAST-Kashmir Diversifies with New Programs in AI, Data Science, and Economics","Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir (SKUAST-K) is expanding beyond its traditional agricultural focus by introducing cutting-edge programs in fields like Artificial Intelligence, Biotechnology, and a BSc (Hons) in Economics and Data Science. Under Vice Chancellor Prof Nazir Ahmad Ganai, the university is opening its doors to students from diverse academic backgrounds, including mathematics and economics. This strategic shift aims to create a new generation of professionals equipped to lead in policy, business, and innovation, addressing the needs of the modern economy and positioning the university at the forefront of higher education reform.14",I
JK-08,Jammu University Selected for Prestigious ANRF-PAIR Research Programme,"The University of Jammu has been chosen to participate in the prestigious ANRF-PAIR (Anveshan Research National Foundation - Promoting Academic and Industrial Research) Programme. This selection will facilitate collaborative, cutting-edge research initiatives at the university. This achievement is part of a broader push by the university to enhance its research ecosystem, which includes winning the 2025 Breakthrough Prize in Fundamental Physics and developing the 'Shodh Sahayak' app to streamline access to research funding. The selection underscores the university's commitment to advancing scientific knowledge and fostering a culture of high-impact research and innovation.16",I
JK-09,Kashmir University Postpones All Exams Scheduled for September 4 Amid Weather Advisory,"The University of Kashmir has announced that all university examinations scheduled to be held on September 4, 2025, have been postponed due to adverse weather conditions. The university will also remain closed on that day as a precautionary measure to ensure the safety of students and staff. This decision follows similar announcements from other educational authorities across the region in response to heavy rainfall and flood warnings. New dates for the postponed examinations will be communicated to students in due course. The university is prioritizing safety and adhering to administrative protocols during the weather emergency.41",C
JK-10,SKUAST-K Hosts Workshops on AI and Deep Learning to Boost Precision Agriculture,"SKUAST-Kashmir is actively integrating advanced technology into agriculture by hosting intensive workshops on Artificial Intelligence and Deep Learning. Events like the ""AI-Powered Digital Twin Workshop"" and the ""NVIDIA Deep Learning Ambassador Workshop"" aim to equip researchers, students, and faculty with practical skills in AI. These sessions provide hands-on exposure to building digital replicas of farms, using IoT devices for precision irrigation, and designing neural networks. The initiative, a collaboration with institutions like IIT Mandi, seeks to create a new generation of professionals who can address agricultural challenges like climate change and food security through data-driven solutions.52",I
IN-01,Tamil Nadu Universities Gain More Freedom with New 51% Curriculum Equivalence Rule,"State universities in Tamil Nadu will now have greater autonomy to introduce new courses and update curricula, as the requirement for granting degree equivalence has been relaxed from 75% to 51% similarity in core subjects. This change, announced by the Tamil Nadu State Council for Higher Education, is designed to encourage diversity and innovation in course offerings, reflecting evolving job roles and scientific advancements. Academicians have welcomed the move, stating it provides flexibility for colleges to experiment with new, relevant programs like BCom (professional accounting) and revise curricula frequently to meet modern demands.47",C
IN-02,US Higher Education Faces Declining Global Prestige and Rising Competition,"American universities, long considered the global standard, are facing significant challenges. Restrictive visa policies have led to predictions of a 15-40% decline in international enrollment, threatening tuition revenue and institutional stability. Simultaneously, legislative moves in several states are eroding tenure protections for faculty, potentially chilling academic freedom. Meanwhile, global competitors, particularly Chinese universities like Tsinghua and Peking, are rising in world rankings and actively recruiting international talent. While top US institutions like MIT and Harvard still dominate, the overall trend indicates a potential shift in the global higher education landscape as other nations position themselves to attract the world's brightest minds.36",E
IN-03,IIT Madras and IISc Bengaluru Lead 2025 NIRF Rankings,"The Ministry of Education has released the 2025 National Institutional Ranking Framework (NIRF) results, with the Indian Institute of Technology (IIT) Madras securing the top position in the overall category for the seventh consecutive year. The Indian Institute of Science (IISc) Bengaluru ranked second overall and claimed the top spot among universities. The rankings, which evaluate institutions on parameters like teaching, research, and graduation outcomes, show a continued dominance of IITs in the top 10. Among colleges, Delhi University's Hindu College was ranked first, followed by Miranda House.18",I
IN-04,IIM Raipur Launches Seven Future-Focused Management Development Programmes,"The Indian Institute of Management (IIM) Raipur has introduced seven new management development programmes designed to address contemporary business challenges and future industry demands. These short-term, intensive courses are aimed at working professionals and executives seeking to upgrade their skills in areas such as digital transformation, strategic leadership, and supply chain analytics. The launch reflects the institution's commitment to providing relevant, high-impact education that aligns with the evolving corporate landscape. By offering these specialized programmes, IIM Raipur aims to equip leaders with the tools needed to navigate complexity and drive innovation within their organizations.56",E
IN-05,Indian Universities Show Major Gains in QS World University Rankings 2025,"Indian higher education institutions have made significant progress in the QS World University Rankings 2025, with 46 universities now ranked. The top five Indian institutions improved their average rank from 224 to 186, driven by enhanced research impact, growing employer reputation, and better international research networks. IIT Delhi and IIT Bombay feature in the top 50 of the QS Asia Rankings. This upward trajectory, representing a 318% increase in ranked institutions over the past decade, highlights India's growing commitment to academic excellence and global competitiveness. However, challenges remain in broadening subject diversity and improving international student mobility.37",I
IN-06,"India's University Landscape Expands to 1,161 Institutions in 2025","India's higher education sector has seen remarkable growth, with the number of universities reaching 1,161 as of 2025. This includes 56 central universities, 486 state universities, 136 deemed universities, and 482 state private universities. This expansion aligns with the National Education Policy (NEP) 2020 goal of achieving a Gross Enrolment Ratio (GER) of 50% by 2035. The growth has been most significant among State Private Universities, which saw a 497% increase in enrolment over the last decade. The government has also increased the number of premier institutions, with IITs growing from 16 to 23 since 2014.58",C
IN-07,Indian Universities Introduce New-Age Interdisciplinary Courses for 2025,"In 2025, Indian universities are launching a wave of new interdisciplinary courses to meet future career demands. These include a B.Tech in AI and Ethics at IIT Hyderabad, a B.Sc. in Climate Science and Sustainability at Delhi University, a BBA in FinTech at NMIMS, and a B.Des. in Gaming and Esports Design at SRM University. Other innovative programs include a B.A. in Space and Astronomical Studies at IISER Pune and an integrated B.A. LLB with a specialization in Cyber Law at NALSAR. This shift reflects the influence of NEP 2020, aiming to make education more relevant, practical, and globally competitive.25",I
IN-08,"IGNOU Launches New Diplomas and Degrees in Digital Media, Sustainability, and AI","The Indira Gandhi National Open University (IGNOU) has introduced several new academic programs for the 2025-26 session, focusing on emerging fields. New offerings include a Bachelor of Arts in Journalism and Digital Media, a Post Graduate Diploma in Digital Transformation and Innovation, and a Post Graduate Diploma in Sustainability Science. These programs are designed to provide students with practical skills and specialized knowledge aligned with current workforce trends and NEP 2020. The BA in Journalism and Digital Media, for instance, focuses on reporting, editing, and using digital platforms, preparing students for the modern media landscape.28",I
IN-09,Nagpur University to Play Key Role in National Critical Minerals Research Mission,"Nagpur University's Geology Department has been recognized as an academic unit in the Rs 34,300 crore National Critical Minerals Mission (NCMM), with IIT-Mumbai as the Centre of Excellence. The seven-year mission aims to reduce India's import dependence on minerals like lithium and cobalt, which are vital for EVs, clean energy, and defense. Nagpur University will focus on upstream exploration, identifying potential source rocks for these minerals. This involvement places the university at the forefront of national-level geological research, contributing to India's goal of self-reliance in strategic resources under the Atma Nirbhar Bharat initiative.17",I
IN-10,Prime Minister Modi Receives First 'Made-in-India' Semiconductor Chip,"At the Semicon India 2025 conference, Prime Minister Narendra Modi was presented with the country's first domestically produced semiconductor chip, the Vikram 32-bit processor. Developed by ISRO's Semiconductor Lab, this achievement marks a significant milestone for the India Semiconductor Mission, launched in 2021. The government has approved 10 manufacturing projects worth over Rs 1.6 lakh crore and sanctioned 23 design projects under its Production Linked Incentive scheme. Industry leaders praised India's growing role in the global semiconductor ecosystem, highlighting the nation's talent base and potential to become a hub for chip design and manufacturing.13",R
IN-11,Punjab Introduces Entrepreneurship as a Core Subject for Class XI Students,"Punjab has become the first state in India to introduce entrepreneurship as a main subject for Class XI, starting in the 2025-26 academic year. The curriculum is designed to be experiential, with students forming teams to develop business ideas, build prototypes, and pitch for seed funding. The initiative aims to foster an entrepreneurial mindset, encouraging students to become job creators rather than job seekers. With no written exams, evaluation will be school-based, focusing on self and peer assessment. The government anticipates that this program could generate significant student-led economic activity and drive grassroots growth.32",E
